,,,,,,,Games,Games,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
Rk,Player,From,To,Draft,Tm,Lg,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,FantPt,PPR,FantPt,PPR/G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb
85,Michael Badgley\BadgMi00,2018,2019,,SDG,NFL,18,0,0,46,47,97.9,28,32,87.5,,,130,132.0,132.0,7.33,7.33,0,0,0,0,0,0,0,0,0,0,0,0
86,Travis Coons\CoonTr00,2015,2017,,TOT,NFL,19,0,0,27,30,90.0,35,40,87.5,,,132,132.0,132.0,6.95,6.95,0,0,0,0,0,0,0,0,0,0,0,0
87,David Buehler\BuehDa44,2009,2011,5-172,DAL,NFL,36,0,0,42,44,95.5,24,32,75.0,,,114,122.0,122.0,3.39,3.39,0,0,0,0,0,0,0,0,0,0,0,0
88,Joey Slye\SlyeJo00,2019,2019,,CAR,NFL,16,0,0,31,35,88.6,25,32,78.1,,,106,122.0,122.0,7.63,7.63,0,0,0,0,0,0,0,0,0,0,0,0
89,Al Del Greco\delgralx01,2000,2000,,OTI,NFL,16,0,0,37,38,97.4,27,33,81.8,,,118,120.0,120.0,7.50,7.50,0,0,0,0,0,0,0,0,0,0,0,0
90,Giorgio Tavecchio\TaveGi00,2017,2018,,TOT,NFL,19,0,0,41,42,97.6,21,26,80.8,,,104,114.0,114.0,6.00,6.00,0,0,0,0,0,0,0,0,0,0,0,0
91,Aaron Elling\ellinaar01,2003,2005,,TOT,NFL,33,0,0,50,50,100.0,19,28,67.9,,,107,109.0,109.0,3.30,3.30,0,0,0,0,0,0,0,0,0,0,0,0
92,Sam Ficken\FickSa00,2017,2019,,TOT,NFL,19,0,0,37,41,90.2,22,33,66.7,,,103,109.0,109.0,5.74,5.74,0,0,0,0,0,0,0,0,0,0,0,0
93,Austin Seibert\SeibAu00,2019,2019,5-170,CLE,NFL,16,0,0,30,35,85.7,25,29,86.2,,,105,107.0,107.0,6.69,6.69,0,0,0,0,0,0,0,0,0,0,0,0
94,Eddy Pineiro\PineEd00,2019,2019,,CHI,NFL,16,0,0,27,29,93.1,23,28,82.1,,,96,100.0,100.0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0
95,Roberto Aguayo\AguaRo00,2016,2016,2-59,TAM,NFL,16,0,0,32,34,94.1,22,31,71.0,,,98,98.0,98.0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0
96,Seth Marler\marleset01,2003,2003,,JAX,NFL,16,0,0,30,30,100.0,20,33,60.6,,,90,92.0,92.0,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0,0
97,Greg Joseph\JoseGr00,2018,2019,,TOT,NFL,16,0,0,34,38,89.5,17,20,85.0,,,85,87.0,87.0,5.44,5.44,0,0,0,0,0,0,0,0,0,0,0,0
98,Cary Blanchard\blanccar01,2000,2000,,CRD,NFL,16,0,0,18,19,94.7,16,23,69.6,,,66,70.0,70.0,4.38,4.38,0,0,0,0,0,0,0,0,0,0,0,0
99,Owen Pochman\pochmowe01,2001,2003,7-216,TOT,NFL,16,0,0,9,10,90.0,8,17,47.1,,,33,33.0,33.0,2.06,2.06,0,0,0,0,0,0,0,0,0,0,0,0
100,Steve Lindsey\LindSt20,2000,2000,,2TM,NFL,16,0,0,5,5,100.0,5,7,71.4,,,20,20.0,20.0,1.25,1.25,0,0,0,0,0,0,0,0,0,0,0,0
